# Start Position | End Position | Favorability of Route # 
[121, 89] | [122, 89] | 2.256165974174327 
[122, 89] | [123, 89] | 2.2708503593513663 
[123, 89] | [124, 89] | 2.288168944708526 
[124, 89] | [125, 89] | 2.3012152566449755 
[125, 89] | [126, 89] | 2.31571867059016 
[126, 89] | [127, 89] | 2.326079633032223 
[127, 89] | [127, 90] | 2.3394682913026696 
[127, 90] | [127, 91] | 2.4186305554011502 
[127, 91] | [127, 92] | 3.152645910571293 
[127, 92] | [127, 93] | 3.1973675491082894 
[127, 93] | [127, 94] | 3.228223250156546 
[127, 94] | [127, 95] | 5.003349248400291 
[127, 95] | [127, 96] | 5.169849064208014 
[127, 96] | [128, 96] | 5.282645319353428 
[128, 96] | [129, 96] | 5.391440806964936 
[129, 96] | [130, 96] | 5.493610553095681 
[130, 96] | [131, 96] | 5.598977263333668 
[131, 96] | [131, 97] | 5.695771721475455 
[131, 97] | [132, 97] | 5.794788069703863 
[132, 97] | [132, 98] | 5.881752814190423 
[132, 98] | [132, 99] | 5.979099745937132 
[132, 99] | [132, 100] | 6.070930294430656 
[132, 100] | [133, 100] | 6.170912406470496 
[133, 100] | [134, 100] | 6.252109094999022 
[134, 100] | [134, 101] | 6.333993310911803 
[134, 101] | [134, 102] | 6.4186234256127035 
[134, 102] | [135, 102] | 6.502045267363436 
[135, 102] | [136, 102] | 6.566659210576821 
[136, 102] | [137, 102] | 6.631403894797397 
[137, 102] | [138, 102] | 6.685805015648225 
[138, 102] | [138, 103] | 6.741646354454138 
[138, 103] | [138, 104] | 6.787179312569092 
[138, 104] | [138, 105] | 6.830859812637407 
[138, 105] | [139, 105] | 6.873811030624443 
[139, 105] | [139, 106] | 8.359876886225859 
[139, 106] | [139, 107] | 8.442864406342244 
[139, 107] | [140, 107] | 8.486053496671762 
[140, 107] | [141, 107] | 8.519306917254243 
[141, 107] | [142, 107] | 8.558428515636527 
[142, 107] | [143, 107] | 8.609412785611156 
[143, 107] | [143, 108] | 8.641000740076807 
[143, 108] | [144, 108] | 8.675055141946844 
[144, 108] | [144, 109] | 8.684114717373642 
[144, 109] | [144, 110] | 6669629.722506739 
[144, 110] | [144, 111] | 7622579.381419358 
[144, 111] | [144, 112] | 8575274.6375442 
[144, 112] | [144, 113] | 8575376.899084331 
[144, 113] | [144, 114] | 9528072.053192487 
[144, 114] | [144, 115] | 9528174.107136173 
[144, 115] | [144, 116] | 10480869.258236224 
[144, 116] | [144, 117] | 10480976.077092238 
[144, 117] | [144, 118] | 11433671.148221796 
[144, 118] | [144, 119] | 11433772.973532137 
[144, 119] | [144, 120] | 12386467.802248407 
[144, 120] | [144, 121] | 12386569.486008903 
[144, 121] | [144, 122] | 13339264.191494362 
[144, 122] | [144, 123] | 13339366.222764613 
[144, 123] | [145, 123] | 14292060.586672032 
[145, 123] | [145, 124] | 14292161.599234957 
[145, 124] | [145, 125] | 15244855.547616968 
[145, 125] | [145, 126] | 15244956.31261732 
[145, 126] | [145, 127] | 16197649.678961731 
[145, 127] | [145, 128] | 16197749.406390825 
[145, 128] | [146, 128] | 17150441.5686811 
[146, 128] | [147, 128] | 17150538.61004943 
[147, 128] | [148, 128] | 18103226.01285167 
[148, 128] | [148, 129] | 18103315.637082174 
[148, 129] | [149, 129] | 19055992.439563718 
[149, 129] | [149, 130] | 19056048.975664306 
[149, 130] | [150, 130] | 19159184.158728413 
